m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,8.1,9.9,8.9,17.1,18.1,11.2,10.7,14.3,13.9,21.3
생산량,100.5,99.4,114.3,127.6,107.2,114.7,127.2,114.2,140.5,124.9
수입량,0.5,0.9,0.9,0.5,0.6,0.5,0.4,0.3,0.2,0.2
곡물총량,109.1,110.2,124.1,145.1,125.9,126.4,138.3,128.8,154.6,146.5
음식소비,16.6,16,16.2,16.9,17.2,16.8,17.4,17.3,17.5,17.3
사료소비,34.9,34,36.5,39,36.9,38.5,40.9,41.1,42.2,41.9
산업소비,4.6,4.9,5.3,5.1,4.9,4.8,5,4.8,5,5
기타소비,12.2,11.7,12.6,12.9,12.1,12.4,11.5,11.3,11.8,11.4
총소비량,68.3,66.5,70.5,74,71.1,72.5,74.8,74.6,76.4,75.7
수출량,31,34.8,36.5,53,43.6,43.2,49.2,40.4,56.8,56.6
내년이월,9.9,8.9,17.1,18.1,11.2,10.7,14.3,13.9,21.3,14.1
