m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.9,1.2,1.7,2.5,2.2,1.9,1.8,5.2,4.3,3.6
생산량,5.2,5.3,5.2,5.1,4.9,4.8,4.6,4.4,4.3,4
수입량,8.2,11,14.4,14,14.7,15.1,18.8,15.5,14.2,16.1
곡물총량,14.3,17.6,21.4,21.6,21.8,21.8,25.1,25.1,22.9,23.8
음식소비,2.1,2.3,2.5,2.7,2.5,2.3,2.4,2.2,2.3,2.4
사료소비,8.3,10.3,12.9,13.4,13.8,13.7,14.3,15.7,14,14.6
산업소비,1.2,1.6,1.8,1.7,1.8,1.8,1.9,1.9,1.8,1.8
기타소비,0.8,0.7,0.9,0.9,1,0.9,0.5,0.5,0.5,0.5
총소비량,12.3,15,18.1,18.7,19,18.7,19.1,20.3,18.7,19.4
수출량,0.8,0.9,0.8,0.8,0.8,1.3,0.9,0.5,0.5,0.8
내년이월,1.2,1.7,2.5,2.2,1.9,1.8,5.2,4.3,3.6,3.6
