m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,16.1,9.5,9.6,19.9,15,10.2,9,7.8,4.4,12.9
생산량,93.3,74.2,107.7,88.1,108.8,111.5,96.7,125.3,148.6,145.9
수입량,7.4,11.7,10,9.6,10.5,11.1,11.9,9.3,8.9,8.4
곡물총량,116.8,95.3,127.3,117.7,134.3,132.8,117.6,142.4,162,167.2
음식소비,14.7,14.9,15.1,15.1,15.6,15.9,15.5,15.5,15.8,16.1
사료소비,47.7,47.7,49.5,51.3,53.7,56.4,56.7,54.2,58.1,59.8
산업소비,5.2,5.2,6.6,7.3,9.9,11.4,12.5,13.7,15.2,17.7
기타소비,3.6,2.9,3.9,3.4,3.9,4.2,3.4,3.2,5.1,5.4
총소비량,71.1,70.6,75.2,77.1,83.2,87.9,88.1,86.6,94.3,98.9
수출량,36.2,15.1,32.2,25.5,40.9,35.9,21.7,51.4,54.8,54.6
내년이월,9.5,9.6,19.9,15,10.2,9,7.8,4.4,12.9,13.7
