m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.6,7.4,8.9,7.7,7.2,6.7,7.3,6.7,6.3,7.5
생산량,1.1,1.1,0.4,0.3,0.7,0.9,0.8,0.8,0.9,0.9
수입량,15.1,17.9,15.5,15.6,13.7,15.1,13,10.6,13.4,11.7
곡물총량,22.8,26.4,24.8,23.5,21.6,22.7,21.1,18.1,20.6,20.2
음식소비,3.6,3.7,4,3.9,3.9,4.1,3.9,4.1,4.5,4.8
사료소비,11.4,13.5,12.8,11.9,10.5,10.8,10,7.3,8.1,7.8
산업소비,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
기타소비,0.2,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
총소비량,15.4,17.5,17.1,16.4,15,15.3,14.4,11.8,13,13
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,7.4,8.9,7.7,7.2,6.7,7.3,6.7,6.3,7.5,7.2
