m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.5,6.9,7.1,5.9,6.2,6.1,6.2,5.8,5.2,6
생산량,15.5,15.3,15.4,15.9,16.3,16.1,16.9,17.4,18.1,18
수입량,18.9,21,20.1,21.9,22,23.4,21.9,21.7,21.4,20.8
곡물총량,40.9,43.2,42.6,43.6,44.6,45.5,45,44.8,44.7,44.9
음식소비,20.8,21.9,22,22,22.6,22.6,23,23.1,23.2,23.4
사료소비,10.9,11.9,12.1,12.4,12.6,13.2,12.8,13.3,12.2,12.3
산업소비,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9
기타소비,1.5,1.5,1.9,1.7,1.5,1.6,1.7,1.5,1.6,1.6
총소비량,34,36.1,36.7,36.8,37.6,38.3,38.4,38.8,37.9,38.2
수출량,-,-,-,0.5,0.9,1,0.9,0.9,0.7,0.7
내년이월,6.9,7.1,5.9,6.2,6.1,6.2,5.8,5.2,6,6
