m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,20.2,21.1,17.4,12.5,16,19.3,27.7,30.6,22.4,16.4
생산량,138.9,125.2,129.5,145.4,142.9,151.3,159.3,161,162.2,160.5
수입량,0.4,0.7,6.8,1.1,0.4,0.4,0.2,0.5,0.9,0.6
곡물총량,159.5,147,153.6,159,159.4,171,187.1,192,185.4,177.5
음식소비,102,98.7,105.2,107.6,105.9,107.3,111.1,117.1,116.8,117.1
사료소비,17.5,16,19,20.1,20.4,20.3,23.8,25.2,26.6,26.2
산업소비,4.8,5.2,5.5,5.6,5.7,5.7,5.9,5.9,6,6
기타소비,9.2,8.3,10.4,8.1,7.1,8.1,9.4,9.8,9.7,9.6
총소비량,133.4,128.1,140.1,141.5,139.1,141.4,150.3,158,159.1,158.9
수출량,5,1.5,1,1.5,1,1.9,6.3,11.6,10,4.3
내년이월,21.1,17.4,12.5,16,19.3,27.7,30.6,22.4,16.4,14.3
