m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3,2.4,2.6,2.4,2.8,2.8,2.4,2.7,2.5,2.6
생산량,1,1.2,1,1.1,0.9,1.3,1.2,1.4,1.3,1.4
수입량,22.6,24.2,23.6,24.9,24.9,24,23.8,22.8,22.9,22.6
곡물총량,26.6,27.8,27.1,28.4,28.6,28.1,27.3,26.9,26.7,26.6
음식소비,6.4,6.5,6.6,6.5,6.4,6.4,6.4,6.4,6.4,6.4
사료소비,12.3,13.3,13.1,13.8,14.1,14,13.3,12.7,12.4,12.3
산업소비,4.7,4.6,4.3,4.6,4.4,4.4,4.2,4.4,4.4,4.4
기타소비,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
총소비량,23.9,24.9,24.4,25.4,25.5,25.4,24.4,24,23.8,23.7
수출량,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
내년이월,2.4,2.6,2.4,2.8,2.8,2.4,2.7,2.5,2.6,2.7
