m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.1,3.2,3.2,3.7,3.2,2.2,1.2,1.5,1,2.6
생산량,16.4,17.5,19.4,19.3,19.2,16.6,19.2,15.6,21.1,17.4
수입량,0.5,0.1,0.1,0.1,0.2,0.6,0.7,2.1,2.1,1.2
곡물총량,19,20.8,22.8,23,22.6,19.3,21.1,19.2,24.2,21.1
음식소비,2.4,2.4,2.6,2.5,2.7,2.6,2.7,2.6,2.8,2.8
사료소비,4.1,4.3,5.4,4.7,4.3,4.5,4.6,3.8,4.5,4.2
산업소비,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2
기타소비,2.8,2.4,2.8,2.6,2.4,2.7,2.7,2.4,2.7,2.2
총소비량,9.5,9.3,10.9,10,9.7,10,10.3,9.1,10.2,9.4
수출량,6.2,8.3,8.2,9.8,10.7,8.1,9.3,9,11.4,10
내년이월,3.2,3.2,3.7,3.2,2.2,1.2,1.5,1,2.6,1.8
