m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,4.3,2.9,4.6,2.7,3.9,4.2,7.2,6.6,6.9,10.1
생산량,31.9,37.7,34.4,35.2,33.5,33.3,35.2,30.9,37.7,38.6
수입량,8.9,6.1,6.6,10.7,11.2,17.8,11.6,16.9,16.6,11.6
곡물총량,45.1,46.8,45.5,48.5,48.6,55.3,53.9,54.3,61.1,60.3
음식소비,17.1,17.1,17,17,17.2,18.2,18.3,18.6,19.1,19.3
사료소비,16.3,14.2,14.7,16.5,16.2,17.9,17.7,18,20.1,20.1
산업소비,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4
기타소비,2.9,3.6,3.2,3.1,2.8,4,3.2,3,3.3,3.4
총소비량,37.5,36.1,36.1,37.8,37.5,41.4,40.6,41,43.8,44.2
수출량,4.6,6.2,6.8,6.8,6.8,6.7,6.8,6.5,7.2,7.7
내년이월,2.9,4.6,2.7,3.9,4.2,7.2,6.6,6.9,10.1,8.4
