m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.4,1.8,1.5,1.8,2,2.3,2.3,2,2.4,2.3
생산량,7.7,7,8.1,7.9,7.7,8,8.4,8.2,8.3,8.4
수입량,5.9,5.9,6.6,7.1,8.4,7.8,6.9,8,7.1,7.5
곡물총량,14.9,14.7,16.2,16.8,18.1,18.1,17.6,18.2,17.7,18.2
음식소비,3.6,3.6,3.7,4.1,4.9,4.9,5.1,5.1,4.8,4.9
사료소비,7.6,7.9,8.6,8.8,8.9,8.9,8.3,8.6,8.4,8.5
산업소비,1.1,1.2,1.2,1.3,1.3,1.3,1.5,1.5,1.5,1.5
기타소비,0.7,0.5,0.8,0.6,0.6,0.6,0.7,0.7,0.7,0.7
총소비량,13.1,13.2,14.4,14.8,15.7,15.7,15.5,15.8,15.4,15.6
수출량,-,-,0.1,-,0.1,0.1,-,-,-,-
내년이월,1.8,1.5,1.8,2,2.3,2.3,2,2.4,2.3,2.6
