m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,0.8,0.3
생산량,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
수입량,4.3,4.4,5,5.2,4.7,5.4,6.6,6.2,4.8,5.7
곡물총량,4.6,4.6,5.2,5.5,5,5.6,6.9,7.1,5.7,6.2
음식소비,3.9,3.8,4.5,4.7,4.3,4.8,5.4,5.7,4.9,5.3
사료소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3
총소비량,4,4,4.7,4.9,4.5,5,5.7,6,5.2,5.5
수출량,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3
내년이월,0.2,0.2,0.2,0.2,0.2,0.3,0.8,0.8,0.3,0.4
