m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9
생산량,1.8,1.4,1.9,1.5,1.9,1.5,2.1,2.3,2.1,2.1
수입량,1.8,2.4,1.6,2.3,1.7,2.5,2,1.8,2.1,2
곡물총량,4.3,4.5,4.3,4.6,4.4,4.9,5,5.1,5.1,5
음식소비,3,3.4,3.3,3.3,3.3,3.6,3.7,3.7,3.7,3.7
사료소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-
기타소비,0.2,-,-,0.2,0.1,0.2,0.2,0.2,0.2,0.2
총소비량,3.3,3.6,3.4,3.7,3.5,3.8,3.9,3.9,3.9,3.9
수출량,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2
내년이월,0.7,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,0.9
