m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.3,0.3,0.2,0.9,0.9,0.3,0.3,0.5,0.8,0.7
생산량,-,-,-,-,-,-,-,-,-,-
수입량,2.3,3.1,5.6,4.7,3,3.1,3.9,4.5,4.3,4.3
곡물총량,2.6,3.4,5.8,5.6,3.9,3.4,4.1,5,5.1,5.1
음식소비,1.4,1.6,1.7,1.9,1.6,1.5,1.6,1.6,1.7,1.8
사료소비,0.6,1,2.5,2.1,1.2,0.9,1.3,2,2,1.9
산업소비,-,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,0.1,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,2,2.8,4.6,4.4,3.3,2.7,3.3,4,4.1,4.1
수출량,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3
내년이월,0.3,0.2,0.9,0.9,0.3,0.3,0.5,0.8,0.7,0.7
