m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.8,0.8,0.9,2.4,1.7,1.8,1.8,1.5,0.7,1.6
생산량,6,5.5,6.7,4.3,5.4,5.2,6.2,7.7,10.6,10.4
수입량,5.5,6.7,7.4,7,7,7.2,6.2,6.4,5,5.6
곡물총량,13.3,13.1,15,13.6,14.1,14.2,14.2,15.6,16.3,17.6
음식소비,10,10.2,10.3,10.3,10.4,10.6,10.6,10.5,10.6,10.7
사료소비,0.3,0.5,0.8,0.5,0.5,0.5,0.4,0.4,0.5,0.5
산업소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
파종소비,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2
기타소비,0.3,0.2,0.5,0.6,0.4,0.5,0.5,0.5,0.7,0.7
총소비량,10.8,11.2,12,11.7,11.7,11.9,11.8,11.7,12.1,12.2
수출량,1.7,1.1,0.6,0.2,0.6,0.4,0.9,3.1,2.7,3.5
내년이월,0.8,0.9,2.4,1.7,1.8,1.8,1.5,0.7,1.6,1.9
