m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.6,3.5,3.8,3.8,3.6,3.4,3.8,3.4,3.2,4.5
생산량,0.7,0.8,-,-,0.5,0.5,0.6,0.5,0.6,0.6
수입량,3.7,3.1,3.9,3.6,3.3,3.7,2.9,3.3,5.2,3.7
곡물총량,7,7.4,7.7,7.4,7.4,7.6,7.3,7.3,9,8.8
음식소비,3.3,3.5,3.8,3.7,3.8,3.8,3.8,4,4.4,4.6
사료소비,0.1,0.1,-,-,-,-,-,-,-,-
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
기타소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-,-
총소비량,3.5,3.6,3.9,3.8,3.9,3.9,3.9,4.1,4.4,4.7
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,3.5,3.8,3.8,3.6,3.4,3.8,3.4,3.2,4.5,4.2
