m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3.9,5.5,3.5,2.5,1.6,1.5,1.2,1.5,5.9,2.5
생산량,24.7,27.3,26.8,27,25.1,29.2,25.4,33,26.3,24.5
수입량,-,-,-,0.1,0.2,0.1,0.1,0.1,0.1,0.1
곡물총량,28.6,32.8,30.4,29.5,26.8,30.8,26.7,34.7,32.3,27.1
음식소비,5.7,5.8,5.3,5.4,5.2,5.1,5.1,4.9,4.3,4.2
사료소비,4,4,2.8,3.2,2.5,2.2,2,2.6,2.6,2.7
산업소비,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
파종소비,1.3,1.1,1.1,1.1,1,1,1,0.9,0.8,0.7
기타소비,0.8,0.8,0.5,0.4,0.4,0.2,0.2,1.4,4.9,4.6
총소비량,11.9,11.8,9.8,10.2,9.3,8.5,8.3,9.8,12.7,12.3
수출량,11.2,17.4,18.1,17.7,16,21.1,16.9,18.9,17.1,12
내년이월,5.5,3.5,2.5,1.6,1.5,1.2,1.5,5.9,2.5,2.8
