m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,4.1,4.5,4.7,4,4.5,4.3,4.6,4.2,3.8,4.9
생산량,8.5,8.5,8.6,8.6,8.6,8.8,8.9,9,9.8,9.9
수입량,11.1,12.2,11.2,12.4,12.5,12.7,12.2,12,12.8,11.7
곡물총량,23.7,25.1,24.6,25,25.5,25.8,25.6,25.2,26.4,26.5
음식소비,15.8,17,17,17,17.5,17.5,17.7,17.7,17.9,18.1
사료소비,2,2,1.7,1.5,1.3,1.3,1.3,1.3,1.4,1.4
산업소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
파종소비,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
기타소비,0.9,0.9,1.3,1,0.9,1,1,0.9,0.9,1
총소비량,19.3,20.4,20.5,20,20.2,20.2,20.6,20.5,20.8,21
수출량,-,-,-,0.5,0.9,1,0.9,0.9,0.7,0.7
내년이월,4.5,4.7,4,4.5,4.3,4.6,4.2,3.8,4.9,4.8
