m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.6,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.3
생산량,0.9,1,0.8,0.9,0.8,1,0.9,1.1,1,1.2
수입량,5.9,5.9,6.1,6,5.8,5.9,5.5,5.5,5.7,5.5
곡물총량,8.3,8.4,8.2,8.2,7.9,8,7.6,7.8,7.8,7.9
음식소비,5.2,5.3,5.4,5.3,5.2,5.2,5.2,5.1,5.2,5.2
사료소비,0.8,0.9,0.8,0.8,0.7,0.8,0.7,0.8,0.7,0.7
산업소비,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
총소비량,6.6,6.7,6.6,6.6,6.4,6.5,6.3,6.3,6.3,6.3
수출량,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
내년이월,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1.1,1.3,1.3
