m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,60.7,68.3,85.3,101.7,113.8,119.8,129.9,128.3,132.9,140.4
생산량,128.3,132.6,133.3,134.3,131.4,133.6,134.3,136.9,137.7,136.5
수입량,2.2,3.6,4.8,3.9,3.3,6.8,11,9.9,13.6,12.2
곡물총량,191.3,204.6,223.3,239.9,248.5,260.2,275.2,275.1,284.2,289.1
음식소비,93,93,92.5,92.5,92.8,93,94.1,95.5,97.5,98.5
사료소비,18.1,14.5,17,18,18,18,34,27.5,27,32
산업소비,3.2,3.2,3.4,5,6,6.5,6.8,7,6.7,7.5
파종소비,4.7,4.8,4.8,5.5,6,6.1,6.1,6.1,6.1,6
기타소비,3,3,3,4,4.7,5.5,5,5,5.5,5.5
총소비량,122,118.5,120.7,125,127.5,129.1,146,141.1,142.8,149.5
수출량,0.9,0.9,0.9,1.1,1.2,1.2,0.9,1.1,1.1,1.2
내년이월,68.3,85.3,101.7,113.8,119.8,129.9,128.3,132.9,140.4,138.4
