m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,10.4,7.1,5.2,6.9,6.5,6,5.5,5.7,3.7,3.5
생산량,29.4,27.6,32.1,30.4,32.4,32.7,35.4,22.3,33.8,31.5
수입량,0.1,0.1,0.1,0.1,0.5,0.7,0.6,0.7,0.5,0.7
곡물총량,39.9,34.8,37.4,37.3,39.4,39.4,41.5,28.7,38,35.7
음식소비,2.6,2.7,2.5,2.6,3,3,3.1,2.8,3,3
사료소비,4.4,3.5,6,4.6,4.4,4.9,4.8,5.2,4.6,4
산업소비,1.1,0.8,0.9,0.7,0.7,0.7,0.6,0.7,0.7,0.7
파종소비,1,0.9,0.9,1,1,1,0.9,1,1,1
기타소비,-,-,-,-,-,-,-,-,-,-
총소비량,9,7.9,10.3,8.9,9,9.6,9.5,9.7,9.3,8.7
수출량,23.9,21.7,20.2,21.9,24.3,24.3,26.3,15.3,25.2,24.2
내년이월,7.1,5.2,6.9,6.5,6,5.5,5.7,3.7,3.5,2.8
