m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,5.6,5.6,4.6,6,4.5,4.4,2.7,3,3.1,2.8
생산량,23.7,22.3,31.8,20.9,17.6,14.5,31.9,36.2,39.2,27.9
수입량,0.2,0.2,0.2,0.2,0.4,0.9,0.4,0.2,0.2,0.3
곡물총량,29.5,28.1,36.6,27.2,22.4,19.8,35,39.5,42.5,31
음식소비,2.5,2.4,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.5
사료소비,3.8,3.8,4.4,5.3,5.7,4.5,4.5,5,4.5,4.5
산업소비,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5
파종소비,0.6,0.6,0.5,0.5,0.5,0.4,0.6,0.6,0.6,0.6
기타소비,-,-,-,-,-,-,-,-,-,-
총소비량,7.3,7.3,7.9,8.8,9,8,8.2,8.7,8.2,8.2
수출량,16.6,16.2,22.6,13.9,9,9.1,23.8,27.6,31.5,21
내년이월,5.6,4.6,6,4.5,4.4,2.7,3,3.1,2.8,1.8
