m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.5,1.7,0.9,1.2,1.5,0.5,1.2,1.1,0.5,3
생산량,20,17.1,17.5,20.2,16.7,19.9,20.6,17.6,22.1,19.5
수입량,0.2,0.2,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1
곡물총량,20.8,19,18.8,21.6,18.4,20.6,22,18.8,22.6,22.6
음식소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
사료소비,9.1,9.2,9.9,9.5,8.3,10,10.2,10.5,10.5,10.5
산업소비,1.6,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8
기타소비,3,2.8,3,2.7,3.1,3,2,2,2,2
총소비량,13.8,13.8,14.6,14.1,13.1,14.8,14.2,14.4,14.5,14.5
수출량,5.3,4.4,3,6,4.7,4.6,6.7,3.9,5.1,5.5
내년이월,1.7,0.9,1.2,1.5,0.5,1.2,1.1,0.5,3,2.6
