m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
생산량,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5
수입량,1.5,1.5,1.8,1.5,1.8,2,2.4,2.2,2.4,2.2
곡물총량,1.9,1.8,2.3,2,2.2,2.4,2.9,2.7,2.9,2.8
음식소비,0.1,0.1,0.1,-,-,-,-,-,-,-
사료소비,-,-,-,0.1,-,0.1,0.3,0.4,0.6,0.5
산업소비,1.6,1.6,1.9,1.8,2.1,2.2,2.5,2.1,2.1,2.1
기타소비,-,-,-,-,-,-,-,-,-,-
총소비량,1.8,1.7,2.1,1.9,2.1,2.3,2.8,2.5,2.8,2.6
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
