m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3.6,3.4,4.5,3.5,3.2,3,3.1,3.1,2.8,2.7
생산량,-,-,-,-,-,-,-,-,-,-
수입량,8.2,11.2,8.1,7.9,6.6,6.7,7,3.9,4.4,4
곡물총량,11.8,14.6,12.7,11.4,9.8,9.7,10,7,7.2,6.7
음식소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,8.3,10,9.1,8,6.7,6.5,6.8,4.1,4.4,3.9
산업소비,-,-,-,-,-,-,-,-,-,-
기타소비,-,-,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,8.4,10.1,9.2,8.2,6.8,6.6,7,4.3,4.5,4
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,3.4,4.5,3.5,3.2,3,3.1,3.1,2.8,2.7,2.7
