m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,26.7,25.9,28.3,29,25.6,23.7,27.7,28.5,23.9,24.7
생산량,143.7,149.4,148,143.5,140.3,157.6,160.5,146.1,153.8,143
수입량,29.2,29.4,28.4,29.8,24.5,27.1,34.9,32.5,31.3,28.7
곡물총량,170.4,175.3,176.2,172.5,165.8,181.3,188.2,174.6,177.7,167.8
음식소비,7,7.3,7.3,6.6,6.4,7.1,7.4,7.2,7,7
사료소비,97.3,100.6,97.8,99,94.2,105.1,109.6,103.6,105.5,101.1
산업소비,29.8,29.4,31,31.2,30.8,30.9,31.8,28.5,28.4,28.4
기타소비,10.5,9.6,11.2,10.2,10.7,10.5,10.9,11.4,12,10.6
총소비량,144.5,147,147.2,146.9,142.1,153.6,159.7,150.7,152.9,147
수출량,29.2,29.4,28.4,29.8,24.5,27.1,34.9,32.5,31.3,28.7
내년이월,25.9,28.3,29,25.6,23.7,27.7,28.5,23.9,24.7,20.7
