m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.2,0.9,1.1,0.7,0.7,0.5,0.2,0.1,0.1,0.4
생산량,2.9,4.9,3.3,3.7,5.1,3.8,4,5.2,4.5,4.6
수입량,-,-,-,-,-,-,-,-,-,-
곡물총량,4.1,5.9,4.4,4.5,5.8,4.3,4.2,5.3,4.6,5
음식소비,-,-,-,-,-,-,-,-,-,-
사료소비,0.4,0.4,0.2,0.1,0.3,0.2,0.3,0.7,0.6,0.7
산업소비,0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.3,0.3,0.3
기타소비,0.1,0.2,0.2,0.2,0.5,0.1,0.1,0.1,0.1,0.1
총소비량,0.8,1,0.5,0.5,1,0.3,0.5,1.2,1,1.1
수출량,2.4,3.8,3.2,3.2,4.3,3.9,3.6,4.1,3.2,3.7
내년이월,0.9,1.1,0.7,0.7,0.5,0.2,0.1,0.1,0.4,0.2
