m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.2,6.1,6,7.1,8,7.9,8.6,8.9,7.2,5.4
생산량,60.5,61.4,59.5,58.6,56.3,63.4,54,51.6,51.4,48.2
수입량,0.3,0.5,0.6,0.8,0.3,0.6,1.4,1.3,2.5,1.8
곡물총량,66.9,67.9,66.2,66.4,64.6,71.9,64,61.8,61.1,55.3
음식소비,0.4,0.4,0.4,0.2,0.3,0.3,0.3,0.3,0.3,0.3
사료소비,35.2,35.8,36.9,36.8,35.8,38.8,32.3,34,36.3,32.5
산업소비,9.3,9,9.4,9.3,9.2,9.2,9.1,7,7,7
기타소비,3.1,2.4,3.5,3,3.2,3.1,2.8,2.7,2.7,2.7
총소비량,48,47.5,50.1,49.3,48.5,51.4,44.4,44,46.3,42.4
수출량,12.9,14.3,9,9.1,8.2,10.9,10.7,10.7,9.5,9.7
내년이월,6.1,6,7.1,8,7.9,9.6,8.9,7.2,5.4,3.2
