m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.3,0.4,0.3,0.4,0.2,0.4,0.3,0.3,0.3,0.5
생산량,2.4,2.7,3.2,3.3,4,3.8,3.7,2.4,3.3,2.9
수입량,-,-,-,-,0.1,0.1,0.1,0.1,0.3,-
곡물총량,2.7,3.1,3.6,3.7,4.2,4.3,4.1,2.8,3.9,3.4
음식소비,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
사료소비,1.5,1.6,2,1.8,1.5,2.2,2.3,1.6,1.7,1.8
산업소비,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1
기타소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
총소비량,1.8,1.9,2.4,2.2,2,2.6,2.6,2,2.1,2.2
수출량,0.5,0.8,0.8,1.4,1.8,1.4,1.1,0.5,1.3,0.9
내년이월,0.4,0.3,0.4,0.2,0.4,0.3,0.3,0.3,0.5,0.4
