m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2,1.3,1.5,2.2,1,0.6,1,0.6,0.5,0.8
생산량,7.1,8.3,8.8,7.9,8.4,10.4,10.7,7,10,8.5
수입량,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,-,0.1
곡물총량,9.3,9.7,10.4,10.2,9.5,11.1,11.8,7.7,10.5,9.4
음식소비,-,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
사료소비,5.2,5.9,5.3,5.9,5.5,6.8,6.2,4.1,5.5,5
산업소비,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2
기타소비,0.2,0.2,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1
총소비량,5.6,6.3,5.9,6.3,5.9,7.1,6.7,4.4,5.8,5.4
수출량,2.4,2,2.3,2.8,3,3,4.5,2.8,3.8,3.3
내년이월,1.3,1.5,2.2,1,0.6,1,0.6,0.5,0.8,0.7
