m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.6,0.1,1.3,1,0.8,0.8,0.8,0.8,0.8,0.8
생산량,6.3,8,6.7,7.1,7,7.6,8.3,5.8,8.5,8.6
수입량,0.8,0.2,0.3,1,0.5,0.9,0.6,3.1,0.9,0.5
곡물총량,8.7,8.3,8.3,9.1,8.3,9.3,9.7,9.6,10.2,9.9
음식소비,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3
사료소비,7.3,5.7,6,7,6.3,7.2,7.5,7.6,8.1,7.8
산업소비,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7
기타소비,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
총소비량,8.6,7,7.3,8.3,7.5,8.5,8.8,8.8,9.4,9.1
수출량,-,-,-,-,-,-,0.1,-,-,-
내년이월,0.1,1.3,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8
