m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.6,0.8,0.5,0.6,0.5,0.4,0.7,0.6,1.7,1.5
생산량,11.3,13.2,15.3,13.2,11.4,14.3,13.9,15.2,15.8,14.9
수입량,-,-,-,-,-,-,-,-,-,-
곡물총량,12,14,15.8,13.8,11.9,14.7,14.6,15.8,17.5,16.4
음식소비,0.3,0.3,0.3,0.4,0.6,0.7,0.6,0.6,0.6,0.6
사료소비,6.7,7.1,7.7,6.1,6.8,7.7,8.2,9.2,9.2,9.2
산업소비,0.9,1.2,1.4,1.1,1.2,1.2,1.3,1.3,1.3,1.3
기타소비,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
총소비량,8.1,8.8,9.7,7.8,8.7,9.8,10.2,11.2,11.3,11.3
수출량,3.1,4.7,5.6,5.5,2.8,4.2,3.8,2.9,4.8,4.3
내년이월,0.6,0.8,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.6
