m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,31.3,44,44.1,58.3,54.4,56.4,48.8,31.4,35,37
생산량,361.1,345.5,384.8,371.1,364.3,346,358.4,382.9,348.8,383.8
수입량,0.8,1.7,0.9,0.9,0.5,1.1,0.6,0.6,0.9,0.6
곡물총량,393.2,391.2,429.8,430.3,419.1,403.4,407.8,414.9,384.7,421.4
음식소비,5.1,5.2,5.2,5.3,5.3,5.6,5.7,5.6,5.5,5.5
사료소비,134.1,129.9,138.8,134.7,138,149.8,142.4,145.3,137.8,142.9
산업소비,161.8,162.9,168.9,173.3,166.5,153.3,157.6,165.6,162.2,164.2
기타소비,0.7,0.8,0.5,0.7,0.5,0.8,0.8,0.6,0.8,0.8
총소비량,301.8,298.8,313.3,314,310.2,309.5,306.5,317.1,306.4,313.4
수출량,47.4,48.3,58.2,61.9,52.6,45.1,69.9,62.8,41.3,48.5
내년이월,44,44.1,58.3,54.4,56.4,48.8,31.4,35,37,59
,,,,,,,,,,
 ,,,,,,,,,,
