m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,13.9,8.4,8.5,17.2,13.1,8.2,6.8,6,3.2,10.3
생산량,84.7,67,97.8,80.8,100,102.5,87.1,112.8,132,130.2
수입량,0.3,3.5,0.8,1.1,1.7,1.9,3.3,0.7,1.5,0.5
곡물총량,98.9,78.8,107.2,99,114.8,112.5,97.2,119.5,136.7,141
음식소비,4.5,4.5,4.6,4.7,5,5,4.7,4.8,5,5.2
사료소비,45.2,45.8,46.2,48.2,50.5,52.8,53.3,49.5,52.5,54.3
산업소비,3.5,3.6,4.6,5.4,7.8,9.1,10,11.5,13,15.5
기타소비,3,2.4,3,2.4,3.1,3.4,2.5,2.3,4,4.2
총소비량,56.1,56.3,58.4,60.7,66.3,70.4,70.4,68.1,74.5,79.2
수출량,34.4,14,31.6,25.3,40.3,35.4,20.8,48.2,52,51
내년이월,8.4,8.5,17.2,13.1,8.2,6.8,6,3.2,10.3,10.8
