m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,4.1,1,1.4,6.1,7.3,4.6,4.6,3.7,6.1,3.9
생산량,33.8,39.8,49.5,43.5,56.9,58.4,60.5,59,41,61
수입량,-,-,0.1,0.1,-,-,-,-,-,-
곡물총량,38,40.8,51,49.7,64.2,63,65.1,62.8,47.1,64.9
음식소비,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
사료소비,14.4,13.8,15,14.5,16.3,16,14.3,15.5,14.5,15.5
산업소비,2.2,2.6,2.4,2.5,2.6,2.8,3,3.2,3.2,3.2
기타소비,0.7,0.8,0.9,0.6,0.7,0.8,0.8,0.9,0.6,0.9
총소비량,18,17.8,19,18.3,20.3,20.3,18.9,20.4,19.1,20.4
수출량,18.9,21.6,25.9,24.1,39.3,38.1,42.4,36.2,24.1,40.9
내년이월,1,1.4,6.1,7.3,4.6,4.6,3.7,6.1,3.9,3.6
