m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3.6,4.1,2.9,2.5,2.2,1.6,2.7,2,8.9,1.3
생산량,28.5,23.3,28,24.1,35.8,35.9,30.3,42.1,27.7,27
수입량,-,-,-,-,-,-,-,-,-,-
곡물총량,32.1,27.4,30.9,26.6,38,37.5,33,44.1,36.5,28.3
음식소비,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3
사료소비,7.5,6.7,5.8,5.1,5,4.8,5.9,6.5,4.8,4.5
산업소비,0.7,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5
기타소비,0.7,0.4,0.6,0.6,0.4,0.4,0.5,1,0.7,1
총소비량,9.1,7.8,7.2,6.4,6.1,5.8,7.1,8.3,6.2,6.3
수출량,18.9,16.7,21.2,18,30.3,29,23.9,27,29,18
내년이월,4.1,2.9,2.5,2.2,1.6,2.7,2,8.9,1.3,4
