m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.3,2.3,2.3,1.7,1.7,1.6,1.5,1.5,1.2,1
생산량,6,6,6,6.4,6.8,6.4,7.1,7.4,7.4,7.3
수입량,7.7,8.7,8.8,9.5,9.5,10.5,9.7,9.6,8.5,9
곡물총량,16,17.1,17,17.6,17.9,18.5,18.3,18.6,17.1,17.3
음식소비,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9
사료소비,8.2,9.2,9.7,10.4,10.8,11.3,11,11.5,10.3,10.4
산업소비,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7
기타소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
총소비량,13.7,14.8,15.3,16,16.3,17,16.8,17.3,16.1,16.3
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,2.3,2.3,1.7,1.7,1.6,1.5,1.5,1.2,1,1
