m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.9,0.5,0.9,0.9,1.2,1.4,1,1.4,1.2,1.2
생산량,-,-,-,-,-,-,-,-,-,-
수입량,14,15.9,15,16.3,16.6,15.7,16.2,15,15,15
곡물총량,14.9,16.4,15.9,17.2,17.9,17.1,17.2,16.4,16.2,16.2
음식소비,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
사료소비,9.5,10.7,10.5,11.4,11.7,11.5,11.2,10.6,10.4,10.4
산업소비,3.4,3.4,3.2,3.2,3.3,3.3,3.2,3.3,3.3,3.3
기타소비,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
총소비량,14.3,15.5,15,16,16.4,16.2,15.8,15.2,15,15
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.5,0.9,0.9,1.2,1.4,1,1.4,1.2,1.2,1.2
