m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.8,1.9,2.1,1.8,1.7,1.7,1.8,1.6,1.5,1.4
생산량,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
수입량,10.2,10.4,9,9.6,10.9,11.9,11.4,11,10,11
곡물총량,12.1,12.4,11.2,11.4,12.6,13.7,13.3,12.7,11.6,12.5
음식소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
사료소비,8,8,7.1,7.4,8.5,9.4,9.3,8.8,7.8,8.7
산업소비,2,2.2,2.2,2.2,2.3,2.2,2.2,2.2,2.2,2.2
기타소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,10.2,10.3,9.4,9.8,10.9,11.9,11.6,11.2,10.2,11.1
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,1.9,2.1,1.8,1.7,1.7,1.8,1.6,1.5,1.4,1.4
