m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,2.4,4.8,5.1,8,11.7,24.3,13.6,6.3,6.7,6.5
생산량,106.9,106.9,116.9,120.1,120.5,96.7,114.7,121.5,116.4,115.5
수입량,0.9,0.6,0.7,0.6,0.4,0.3,0.5,0.5,0.6,0.7
곡물총량,110.2,112.3,122.8,128.7,132.6,121.3,128.9,128.3,123.6,122.8
음식소비,-,-,-,-,-,-,-,-,-,-
사료소비,3.7,3.3,4,3,3.4,2.9,2.7,2.8,3.3,3.4
분쇄소비,51.2,51.2,51.4,55.9,56.9,58.9,58.2,59.9,60.4,62.6
총소비량,54.9,54.5,55.4,58.9,60.3,61.8,60.9,62.7,63.7,66
수출량,50.5,52.7,59.4,58.1,48,45.8,61.8,58.9,53.4,50.2
내년이월,4.8,5.1,8,11.7,24.3,13.6,6.3,6.7,6.5,6.6
