m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.8,6.2,7.5,10.3,7.1,7.7,10,7.3,2.8,2
생산량,61.4,59.1,55,37.8,55.3,48.8,46.2,44,21.8,44
수입량,-,0.6,2.4,6.5,3.9,4.9,5,3.1,10.5,5.5
곡물총량,68.2,65.9,64.9,54.6,66.3,61.4,61.2,54.4,35.1,51.5
음식소비,-,-,-,-,-,-,-,-,-,-
사료소비,-,-,-,-,-,-,-,-,-,-
분쇄소비,45.1,43.1,41,36.4,41.2,37.3,41,39.9,29,39
총소비량,50.4,49.4,47.3,42.9,48.2,44.4,48.2,45.5,30.9,42.8
수출량,11.7,9,7.2,4.6,10.5,7,5.8,6,2.2,5.1
내년이월,6.2,7.5,10.3,7.1,7.7,10,7.3,2.8,2,3.6
