m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.5,0.8,0.9,0.9,1.4,1,0.8,0.5,0.6,0.6
생산량,1.8,2.3,2.5,2.7,2.8,2.7,2.6,2.6,2.5,2.8
수입량,13.5,14.1,13.1,14.8,14.5,15.9,14,14.3,13.9,14.3
곡물총량,15.9,17.3,16.5,18.3,18.8,19.6,17.5,17.4,16.9,17.7
음식소비,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2
사료소비,1,1.2,1.2,1.2,1.2,1.2,0.9,0.3,0.2,0.3
분쇄소비,13.8,14.8,14.1,15.2,16.3,17.1,15.8,16.1,15.8,16.4
총소비량,15,16.2,15.4,16.6,17.7,18.5,16.8,16.5,16.1,16.8
수출량,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.3
내년이월,0.8,0.9,0.9,1.4,1,0.9,0.5,0.6,0.6,0.6
