m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3
생산량,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
수입량,3.1,3.2,3.2,3.2,3.4,3.3,3.2,3.6,3.5,3.6
곡물총량,3.5,3.7,3.7,3.6,3.8,3.8,3.6,4,4,4.1
음식소비,0.8,0.8,0.9,0.8,0.7,0.8,0.8,0.8,0.8,0.8
사료소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
분쇄소비,2.3,2.5,2.4,2.4,2.7,2.6,2.6,2.8,2.8,2.8
총소비량,3.3,3.5,3.5,3.4,3.6,3.6,3.5,3.7,3.8,3.8
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.4
