m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.1,0.1,0.1,0.1,0.1,0.1,-,0.1,0.1,0.1
생산량,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
수입량,1.3,1.4,1.2,1.4,1.4,1.3,1.4,1.3,1.3,1.4
곡물총량,1.5,1.6,1.4,1.6,1.6,1.4,1.5,1.5,1.5,1.6
음식소비,0.6,0.5,0.4,0.6,0.5,0.4,0.5,0.4,0.4,0.4
사료소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
분쇄소비,0.8,0.9,0.8,0.8,1,0.9,0.9,0.9,1,1.2
총소비량,1.4,1.5,1.3,1.4,1.5,1.4,1.5,1.4,1.4,1.6
수출량,-,-,-,-,-,-,-,-,-,-
내년이월,0.1,0.1,0.1,0.1,0.1,-,0.1,0.1,0.1,-
