resume_seq,recruitment_seq,text_keyword_x,text_keyword_y
U00001,R05210,디자이너,
U00803,R05210,,
U02861,R05210,머천다이저;디자이너,
U05173,R05210,의류디자이너;의상디자이너;디스플레이;머천다이져;MD;VMD,
U05680,R05210,일본무역;디자이너,
U06049,R05210,캐주얼;의류;스포츠웨어,
U00001,R05288,디자이너,
U00035,R05288,디자이너,
U00930,R05288,패션디자인;전시기획;인테리어;공공디자인,
U01255,R05288,패션디자인의상디자인;상품기획;여성복;남성복;컬러리스트;일러스트;악세사리,
U03469,R05288,여성복디자이너;텍스타일디자이너,
U03578,R05288,아웃도어디자인;스포츠웨어디자인,
U05615,R05288,의상디자인;패션디자인;VMD,
U05657,R05288,텍스타일패션,
U05888,R05288,패션,
U06819,R05288,패션디자인;데님디자이너;데님MD;스타일리스트,
U07433,R05288,아동복디자이너;여성복디자이너;남성복디자이너;소재디자이너;상품생산,
U08302,R05288,중국어;영어,
U00001,R04536,디자이너,
U00060,R04536,니트;티셔츠디자이너,
U00111,R04536,패션디자이너,
U00247,R04536,기획;영업;MD;남성복디자인,
U00424,R04536,니트디자이너,
U00873,R04536,상품기획,
U00937,R04536,의상디자이너,
U01072,R04536,니트디자이너,
U01179,R04536,디자이너;스포츠웨어디자인;패션디자인;캐쥬얼;아웃도어,
U02019,R04536,텍스타일디자인,
U02207,R04536,패션디자인RD;교육,
U02985,R04536,의류;아동복;피팅;남성복,
U03496,R04536,여성복디자인;우븐디자인;패션디자인,
U05173,R04536,의류디자이너;의상디자이너;디스플레이;머천다이져;MD;VMD,
U05797,R04536,섬유;소재개발;의복;의류;텍스타일디자인;소재디자인;남성복디자인;원단,
U08059,R04536,소재디자인;패션;섬유;택스타일,
U00001,R06065,디자이너,
U01377,R06065,우븐디자이너,
U02207,R06065,패션디자인RD;교육,
U02455,R06065,여성복디자이너,
U02630,R06065,참신한디자이너;디자이너;참신,
U03868,R06065,디자이너,
U05002,R06065,여성복디자인;패션쇼핑몰MD,
U05657,R06065,텍스타일패션,
U00002,R01103,디자이너,
U00349,R01103,패션디자인;남성복디자인;여성복디자인,
U00474,R01103,여성복디자이너,
