m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,8.3,11,7.3,5.7,4.5,4.2,5.3,5,16.5,4.7
생산량,64.4,60.8,66.3,61.3,69.7,75.9,65.2,86.7,61.8,58.8
수입량,0.1,0.1,0.1,0.1,0.3,0.2,0.2,0.2,0.1,0.1
곡물총량,72.8,71.9,73.7,67.1,74.5,80.3,70.7,91.9,78.4,63.6
음식소비,6.8,6.9,6.3,6.5,6.1,6,6,5.8,5.4,5
사료소비,15,14.5,12.2,11.6,10.1,10.1,10.9,12.3,10.4,10.1
산업소비,1.3,1,1,1,1,0.9,1,1,0.9,0.9
기타소비,3.8,3.4,3.5,3.3,3.1,2.8,2.7,4.3,8,8.2
총소비량,27,25.8,23,22.4,20.2,19.7,20.6,23.4,24.7,24.2
수출량,34.8,38.8,45,40.2,50.1,55.3,45.2,52,49,32
내년이월,11,7.3,5.7,4.5,4.2,5.3,5,16.5,4.7,7.4
