m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,15.1,10.5,9.8,11.9,10.6,9.1,9.5,9.2,6.7,7.8
생산량,51.5,53.4,58.8,56.6,58.5,61.2,65,46.6,64.3,58.8
수입량,2,1.2,0.9,1.9,3.1,2.5,2.5,7.2,3,1.8
곡물총량,68.6,65.1,69.4,70.3,72.2,72.8,77,62.9,73.9,68.3
음식소비,2.9,3.1,2.8,2.9,3.3,3.3,3.5,3.1,3.3,3.3
사료소비,18.3,17.1,20.6,20.1,20.4,21.7,21.3,23.1,21.2,19.9
산업소비,6.5,6.2,6.2,5.9,6.2,6.1,6,6.1,6.2,6.3
기타소비,1.4,1.4,1.6,1.6,1.5,1.5,1.4,1.5,1.4,1.4
총소비량,29.1,27.7,31.1,30.6,31.4,32.6,32.3,33.7,32.1,30.9
수출량,29.1,27.6,26.4,29.2,31.7,30.8,35.5,22.5,34.1,31.2
내년이월,10.5,9.8,11.9,10.6,9.1,9.5,9.2,6.7,7.8,6.2
