m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.2,6.7,5.6,8.4,6.2,6.4,5.2,6.5,5.9,5.3
생산량,36.5,35,49.2,33.2,29.2,26.6,50.7,55.6,58,41.6
수입량,0.2,0.2,0.2,0.3,0.5,0.9,0.5,0.4,0.3,0.4
곡물총량,42.9,41.9,55,41.9,35.9,33.9,56.3,62.5,64.2,47.2
음식소비,2.8,2.7,2.8,2.7,2.7,2.8,2.8,2.8,2.8,2.8
사료소비,7.1,8.3,8.7,9.7,10.9,10.3,10,11.4,10.6,9.3
산업소비,0.8,0.8,1,1,1,0.8,0.8,0.9,0.9,0.9
기타소비,1,0.8,1,1,1.1,1.1,1.3,1.4,1.3,1.3
총소비량,11.7,12.7,13.5,14.4,15.6,15,14.9,16.5,15.6,14.3
수출량,24.4,23.7,33.1,21.3,13.9,13.7,34.9,40.1,43.3,29.7
내년이월,6.7,5.6,8.4,6.2,6.4,5.2,6.5,5.9,5.3,3.2
