m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.6,0.5,0.5,0.8,0.7,0.5,0.4,0.3,0.8,0.9
생산량,3.7,3.7,3.9,3.5,2.9,3.2,3,3.3,3.6,3.4
수입량,4.6,4.7,5.5,5.2,4.9,5.2,4.7,5.3,5.2,5.1
곡물총량,8.8,9,9.9,9.6,8.6,9,8.1,8.9,9.6,9.4
음식소비,5.8,5.6,6.3,6.3,6.3,6.4,6.5,6.7,7.2,7.2
사료소비,0.6,0.5,0.7,0.5,0.6,0.5,0.2,0.2,0.3,0.3
산업소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
파종소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
기타소비,0.4,0.4,0.6,0.4,0.3,0.2,0.1,0.1,0.1,0.1
총소비량,7.1,6.8,7.8,7.6,7.5,7.3,7.1,7.4,7.9,7.9
수출량,1.2,1.6,1.2,1.2,0.6,1.3,0.7,0.8,0.8,1.2
내년이월,0.5,0.5,0.8,0.7,0.5,0.4,0.3,0.8,0.9,0.4
