m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.7,2.6,2.6,3.2,2.9,1.6,0.7,1.1,0.6,2
생산량,13,13.7,15,14.8,13.9,11.5,14.3,11.8,16.4,13
수입량,0.4,0.1,0.1,0.1,0.1,0.5,0.6,2,1.7,1.1
곡물총량,15.1,16.4,17.6,18,16.9,13.6,15.5,14.9,18.7,16.1
음식소비,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.6,2.6
사료소비,2,2.1,2.3,2.1,1.9,1.4,1.4,1.2,1.7,1.3
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.3
기타소비,1,0.5,0.8,0.8,0.5,0.8,0.9,0.6,0.8,0.7
총소비량,6.8,6.5,7.1,6.8,6.5,6.2,6.4,5.8,6.7,5.8
수출량,5.7,7.4,7.4,8.4,8.8,6.7,8.1,8.5,10,9
내년이월,2.6,2.6,3.2,2.9,1.6,0.7,1.1,0.6,2,1.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
