m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.7,1.2,1.1,1.4,1.6,2.1,2.2,1.9,2.2,2.2
생산량,-,-,-,-,-,-,-,-,-,-
수입량,5.1,5,5.8,6.2,7.7,7,6.1,6.8,5.9,6.5
곡물총량,5.7,6.1,6.9,7.6,9.3,9.2,8.3,8.7,8.1,8.7
음식소비,2.4,2.4,2.5,2.8,3.8,3.8,3.8,3.8,3.6,3.7
사료소비,2,2.5,2.7,3,3.2,3.1,2.5,2.5,2.2,2.4
산업소비,-,-,-,-,-,-,-,-,-,-
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,4.5,5,5.5,5.9,7.1,6.9,6.4,6.4,5.9,6.2
수출량,-,-,0.1,-,0.1,0.1,-,-,-,-
내년이월,1.2,1.1,1.4,1.6,2.1,2.2,1.9,2.2,2.2,2.4
