m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.4,1.2
생산량,-,-,-,-,-,-,-,-,-,-
수입량,4.1,4.6,4.5,4.2,4,4,4,5.2,4.8,5.1
곡물총량,5.4,5.8,5.8,5.4,5.1,5.1,5.1,6.4,6.2,6.4
음식소비,2.3,2.4,2.4,2.2,2.5,2.3,2.3,2.4,2.4,2.4
사료소비,1.5,1.9,1.8,1.6,1.1,1.2,1.1,1.9,1.9,1.9
산업소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
파종소비,-,-,-,-,-,-,-,-,-,-
기타소비,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
총소비량,4,4.4,4.4,4,3.7,3.7,3.6,4.5,4.5,4.5
수출량,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5
내년이월,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.4,1.2,1.4
