m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.8,1.3,0.7,0.6,0.6,0.9,1.2,1.1,1.4,0.8
생산량,9.4,8.7,9.9,8.7,7.6,9.5,7.9,10,6.6,6.2
수입량,-,-,-,-,-,-,0.1,-,-,-
곡물총량,10.2,10,10.6,9.3,8.2,10.4,9.3,11.1,8,7
음식소비,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2
사료소비,3,3.3,3,2.7,2,2.5,2.4,2.5,2.4,2.4
산업소비,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
기타소비,0.9,1,1.2,1.2,1.2,1.2,1,1,1.6,1.9
총소비량,4.5,4.9,4.7,4.4,3.8,4.2,4,4,4.5,4.7
수출량,4.5,4.4,5.4,4.3,3.6,5,4.2,5.7,2.7,1.8
내년이월,1.3,0.7,0.6,0.6,0.9,1.2,1.1,1.4,0.8,0.5
