m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,6.6,7.3,5.6,7,8.3,9.1,6.9,6.3,5.7,10.6
생산량,76.2,59,62.6,64.8,67,68.1,68,71.2,52.8,60.7
수입량,8.9,13.8,15.5,17.9,26.1,18.5,14,16.7,28.9,19.9
곡물총량,91.7,80.1,83.7,89.7,101.4,95.7,88.9,94.2,87.4,91.3
음식소비,4.2,4.2,4.8,4.9,4.9,4.7,4.6,4.7,4.7,4.7
사료소비,59.6,53,53.4,57.8,66.3,62.3,58.6,61.9,53.5,58.3
산업소비,14.1,13.1,13.9,14.5,14.8,14.2,13.7,14.2,13.2,13.2
기타소비,2.6,2.3,2.5,2.5,2.6,2.6,2,2.3,1.7,2
총소비량,80.4,72.6,74.7,79.7,88.7,83.7,78.8,83.1,73,78.1
수출량,3.9,1.9,2.1,1.6,3.5,4.9,3.8,5.5,3.7,3.7
내년이월,7.3,5.6,7,8.3,9.1,7.1,6.3,5.7,10.6,9.4
