m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.5,2.1,1.2,1.8,2,1.5,1.9,2,2.4,2.5
생산량,24.2,22.6,25.9,28.7,27.7,28.8,31.7,33.7,35.9,34
수입량,-,0.2,0.1,-,0.2,0.1,0.1,0.3,0.3,0.3
곡물총량,25.7,25,27.2,30.6,30,30.3,33.6,36,38.6,36.8
음식소비,6.6,6.6,6.8,6.9,7,7,7,7,7,7
사료소비,10.8,11.4,12.4,14.7,15.2,14.2,14.5,16.5,18,18.2
산업소비,4,4.2,4.5,4.7,4.8,4.8,5,5.1,5.3,5.3
기타소비,1.1,1.1,1.1,1.3,1.1,1.2,1.4,1.5,1.6,1.5
총소비량,22.5,23.3,24.9,27.6,28.1,27.1,27.9,30.1,31.8,32
수출량,1,0.4,0.5,0.9,0.4,1.3,3.7,3.5,4.3,3
내년이월,2.1,1.2,1.8,2,1.5,1.9,2,2.4,2.5,1.8
