m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,1.7,1.4,1.2,0.4,0.5,0.6,0.9,1,0.9,0.9
생산량,9,10.5,10.9,11.9,12,12,11.8,12.4,12.8,13.1
수입량,3.4,1.8,0.6,0.5,1,0.9,1.1,0.9,0.7,0.8
곡물총량,14.1,13.7,12.8,12.8,13.5,13.5,13.8,14.3,14.3,14.8
음식소비,3.1,2.9,2.6,2.5,2.4,2.3,2.3,2.2,2.2,2.2
사료소비,7.5,7.5,7.8,7.7,8.5,8.3,8.5,8.9,8.9,9.4
산업소비,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7
기타소비,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.6
총소비량,12.4,12.4,12.4,12.1,12.9,12.6,12.8,13.4,13.4,13.9
수출량,0.2,-,-,0.3,-,0.1,-,0.1,0.1,0.1
내년이월,1.4,1.2,0.4,0.5,0.6,0.9,1,0.9,0.9,0.9
