m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.7,0.3,0.2,0.6,0.6,0.6,0.5,0.5,0.5,0.3
생산량,10.4,8.6,13.2,10.9,13.3,11.2,12.6,13,14,13.4
수입량,-,0.1,-,0.1,0.1,0.2,0.2,0.1,0.1,0.1
곡물총량,11.1,9,13.4,11.6,13.9,12,13.3,13.7,14.6,13.8
음식소비,0.3,0.1,0.7,0.6,0.4,0.5,0.4,0.5,0.5,0.4
사료소비,0.7,0.2,0.9,0.8,0.7,0.8,0.8,0.8,0.6,0.5
분쇄소비,9.6,8.4,10.9,9.5,12.1,10.2,11.6,11.9,13.3,12.5
총소비량,10.5,8.7,12.5,10.9,13.2,11.4,12.7,13.1,14.3,13.4
수출량,0.2,0.1,0.3,0.2,0.2,0.1,-,0.1,-,0.1
내년이월,0.3,0.2,0.6,0.6,0.6,0.5,0.5,0.5,0.3,0.4
