m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,0.2,0.5,0.4,0.5,0.8,0.8,0.8,0.7,0.6,0.6
생산량,6,6.5,6.6,7.7,7.4,6.1,6.4,6.3,6.5,6.1
수입량,0.3,0.3,0.5,0.6,1,0.2,0.5,0.5,0.5,0.6
곡물총량,6.6,7.3,7.5,8.8,9.3,7.1,7.6,7.4,7.7,7.3
음식소비,-,-,-,-,-,-,-,-,-,-
사료소비,0.3,0.5,0.5,0.6,0.6,0.8,0.6,0.5,0.2,0.2
분쇄소비,1.8,2,1.9,2.1,2.1,2,1.8,2,2.4,2.3
총소비량,2.3,2.7,2.6,3.1,2.9,2.8,2.5,2.6,2.8,2.7
수출량,3.9,4.2,4.4,4.9,5.6,3.6,4.5,4.2,4.4,4.4
내년이월,0.5,0.4,0.5,0.8,0.8,0.8,0.7,0.6,0.6,0.3
