시간,밀,발틱운임,보리,석유,쌀,옥수수,콩
14-Jan,555,1110,148,97,15.4,434,1282
14-Feb,602,1258,147,102,15.6,463,1414
14-Mar,697,1362,145,101,15.6,502,1464
14-Apr,721,943,148,99,15.6,519,1512
14-May,627,934,159,102,15,465,1493
14-Jun,577,850,150,105,13.6,418,1157
14-Jul,530,755,132,97,13,357,1082
14-Aug,563,1147,118,95,12.7,364,1024
14-Sep,477,1063,115,91,12.7,320,913
14-Oct,532,1428,104,80,12.3,376,1049
14-Nov,578,1153,107,65,12.3,388,1016
14-Dec,589,782,109,53,11.8,397,1023
15-Jan,502,608,110,47,10.6,370,961
15-Feb,513,540,103,49,10.7,393,1031
15-Mar,511,602,106,47,10.9,376,973
15-Apr,474,591,106,59,10.3,366,976
15-May,477,589,105,60,9.5,351,934
15-Jun,615,800,100,58,10.5,422,1037
15-Jul,499,1131,104,46,11.5,371,940
15-Aug,485,903,96,48,12.2,375,887
15-Sep,512,900,92,45,13.2,387,892
15-Oct,522,721,94,46,11.9,382,885
15-Nov,475,584,93,41,11.9,372,881
15-Dec,470,478,88,37,11.8,358,864
16-Jan,479,317,83,33,11.4,372,882
16-Feb,453,329,87,33,10.8,357,861
16-Mar,473,429,91,38,9.7,351,910
16-Apr,488,703,100,45,11.1,391,1029
16-May,464,612,104,48,10.9,404,1078
16-Jun,445,660,114,48,10.6,365,1153
16-Jul,407,656,107,41,9.9,334,1003
16-Aug,388,711,98,44,9.4,315,943
16-Sep,402,875,95,48,9.9,336,954
16-Oct,416,857,96,46,10.2,354,1011
16-Nov,402,1204,97,48,9.7,348,1032
16-Dec,408,961,95,53,9.6,352,1004
17-Jan,420,800,100,52,9.5,359,1024
17-Feb,443,859,103,53,9.6,373,1035
17-Mar,426,1297,102,50,9.9,364,946
17-Apr,432,1109,103,49,9.4,366,956
17-May,429,878,104,48,11.1,372,916
17-Jun,526,901,105,46,11.8,381,954
17-Jul,474,946,110,50,12.3,370,1007
17-Aug,434,1184,103,47,12.8,357,945
17-Sep,448,1356,99,51,12,355,968
17-Oct,418,1522,93,54,11.6,345,984
17-Nov,433,1578,98,57,12.5,355,985
17-Dec,427,1366,94,60,11.9,350,961
18-Jan,451,1152,100,64,12.4,361,995
18-Feb,495,1192,106,61,12.5,382,1055
18-Mar,451,1055,108,64,12.4,387,1044
18-Apr,510,1341,112,68,13.1,400,1048
18-May,526,1090,117,67,11.6,394,1018
18-Jun,501,1385,103,74,11.2,359,880
18-Jul,553,1747,99,68,11.9,372,919
18-Aug,545,1579,98,69,10.8,365,843
18-Sep,509,1540,95,73,9.8,356,845
18-Oct,500,1490,102,64,10.6,363,851
18-Nov,515,1231,105,50,10.9,377,894
18-Dec,503,1271,101,45,10.4,375,895
19-Jan,516,668,102,53,10.6,376,915
19-Feb,459,658,106,57,10.6,370,910
19-Mar,457,689,103,60,10.9,356,884
19-Apr,428,1011,100,63,10.6,362,854
19-May,503,1096,106,53,11.5,427,877
19-Jun,527,1354,125,58,11.6,424,923
19-Jul,487,1868,128,57,11.9,400,881
19-Aug,462,2378,110,55,12,369,869
19-Sep,495,1823,103,54,12,388,906
19-Oct,508,1731,112,54,12,390,932
19-Nov,541,1528,113,55,12.5,381,876
19-Dec,558,1090,111,61,13.3,387,955
20-Jan,553,487,115,51,13.6,381,872
20-Feb,525,535,110,45,13.6,368,892
20-Mar,568,626,101,20,14,340,886
20-Apr,524,635,97,19,14.8,320,855
20-May,520,504,98,35,17.2,325,840
20-Jun,491,1799,101,39,12.2,341,882
20-Jul,531,1350,102,40,11.6,316,892
20-Aug,552,1488,102,42,12.4,357,953
20-Sep,578,1725,102,39,12.5,379,1023
20-Oct,598,1283,102,35,12.4,398,1056
20-Nov,585,1227,108,45,12.6,426,1168
20-Dec,640,1366,112,48,12.7,484,1311
21-Jan,663,1452,125,52,13.5,547,1370
21-Feb,660,1675,137,61,13,547,1404
21-Mar,618,2046,138,59,13.2,564,1436
21-Apr,734,3053,154,63,13.7,673,1534
21-May,663,2596,195,67,13.3,656,1530
21-May,679,3383,187,73,13.5,599,1399
21-Jul,703,3292,180,73,13.7,547,1349
21-Aug,722,4132,169,68,13.4,534,1292
21-Sep,725,5167,175,75,13.7,536,1256
21-Oct,772,3519,208,83,13.6,568,1249
21-Nov,787,3018,224,66,14,567,1217
21-Dec,770,2217,238,75,14.9,593,1339
22-Jan,761,1418,250,88,15.1,626,1490
22-Feb,934,2040,249,95,15.7,690,1636
22-Mar,1006,2358,256,101,16,748,1618
22-Apr,1055,2404,262,104,17.5,813,1684
22-May,1087,2566,257,115,17.5,753,1683
22-Jun,884,2240,259,105,16.7,628,1458
22-Jul,807,1895,240,98,16.9,616,1468
22-Aug,831,965,212,88,17.8,670,1422
22-Sep,921,1760,180,79,17.2,677,1364
22-Oct,882,1463,175,86,17,691,1419
22-Nov,795,1355,178,80,17.8,667,1469
22-Dec,792,1515,179,80,18.4,678,1524
23-Jan,761,681,182,78,17.8,679,1538
23-Feb,705,990,182,76,17.4,630,1479
23-Mar,692,1389,182,75,17.4,660,1505
23-Apr,633,1576,185,76,17.4,585,1419
23-May,594,977,180,67,17.3,594,1299
23-Jun,651,1091,175,70,15,488,1343
23-Jul,665,1127,172,81,15.5,504,1331
23-Aug,602,1086,159,83,16.7,478,1368
23-Sep,541,1701,159,90,15.9,476,1275
23-Oct,573,1827,159,82,15.7,497,1280
