time,close
2014-01,555
2014-02,602
2014-03,697
2014-04,721
2014-05,627
2014-06,577
2014-07,530
2014-08,563
2014-09,477
2014-10,532
2014-11,578
2014-12,589
2015-01,502
2015-02,513
2015-03,511
2015-04,474
2015-05,477
2015-06,615
2015-07,499
2015-08,485
2015-09,512
2015-10,522
2015-11,475
2015-12,470
2016-01,479
2016-02,453
2016-03,473
2016-04,488
2016-05,464
2016-06,445
2016-07,407
2016-08,388
2016-09,402
2016-10,416
2016-11,402
2016-12,408
2017-01,420
2017-02,443
2017-03,426
2017-04,432
2017-05,429
2017-06,526
2017-07,474
2017-08,434
2017-09,448
2017-10,418
2017-11,433
2017-12,427
2018-01,451
2018-02,495
2018-03,451
2018-04,510
2018-05,526
2018-06,501
2018-07,553
2018-08,545
2018-09,509
2018-10,500
2018-11,515
2018-12,503
2019-01,516
2019-02,459
2019-03,457
2019-04,428
2019-05,503
2019-06,527
2019-07,487
2019-08,462
2019-09,495
2019-10,508
2019-11,541
2019-12,558
2020-01,553
2020-02,525
2020-03,568
2020-04,524
2020-05,520
2020-06,491
2020-07,531
2020-08,552
2020-09,578
2020-10,598
2020-11,585
2020-12,640
2021-01,663
2021-02,660
2021-03,618
2021-04,734
2021-05,663
2021-05,679
2021-07,703
2021-08,722
2021-09,725
2021-10,772
2021-11,787
2021-12,770
2022-01,761
2022-02,934
2022-03,1006
2022-04,1055
2022-05,1087
2022-06,884
2022-07,807
2022-08,831
2022-09,921
2022-10,882
2022-11,795
2022-12,792
2023-01,761
2023-02,705
2023-03,692
2023-04,633
2023-05,594
2023-06,651
2023-07,665
2023-08,602
2023-09,541
2023-10,573
