time,close
2014-01,1110
2014-02,1258
2014-03,1362
2014-04,943
2014-05,934
2014-06,850
2014-07,755
2014-08,1147
2014-09,1063
2014-10,1428
2014-11,1153
2014-12,782
2015-01,608
2015-02,540
2015-03,602
2015-04,591
2015-05,589
2015-06,800
2015-07,1131
2015-08,903
2015-09,900
2015-10,721
2015-11,584
2015-12,478
2016-01,317
2016-02,329
2016-03,429
2016-04,703
2016-05,612
2016-06,660
2016-07,656
2016-08,711
2016-09,875
2016-10,857
2016-11,1204
2016-12,961
2017-01,800
2017-02,859
2017-03,1297
2017-04,1109
2017-05,878
2017-06,901
2017-07,946
2017-08,1184
2017-09,1356
2017-10,1522
2017-11,1578
2017-12,1366
2018-01,1152
2018-02,1192
2018-03,1055
2018-04,1341
2018-05,1090
2018-06,1385
2018-07,1747
2018-08,1579
2018-09,1540
2018-10,1490
2018-11,1231
2018-12,1271
2019-01,668
2019-02,658
2019-03,689
2019-04,1011
2019-05,1096
2019-06,1354
2019-07,1868
2019-08,2378
2019-09,1823
2019-10,1731
2019-11,1528
2019-12,1090
2020-01,487
2020-02,535
2020-03,626
2020-04,635
2020-05,504
2020-06,1799
2020-07,1350
2020-08,1488
2020-09,1725
2020-10,1283
2020-11,1227
2020-12,1366
2021-01,1452
2021-02,1675
2021-03,2046
2021-04,3053
2021-05,2596
2021-06,3383
2021-07,3292
2021-08,4132
2021-09,5167
2021-10,3519
2021-11,3018
2021-12,2217
2022-01,1418
2022-02,2040
2022-03,2358
2022-04,2404
2022-05,2566
2022-06,2240
2022-07,1895
2022-08,965
2022-09,1760
2022-10,1463
2022-11,1355
2022-12,1515
2023-01,681
2023-02,990
2023-03,1389
2023-04,1576
2023-05,977
2023-06,1091
2023-07,1127
2023-08,1086
2023-09,1701
2023-10,1827
