time,close
Jan-14,97
Feb-14,102
Mar-14,101
Apr-14,99
May-14,102
Jun-14,105
Jul-14,97
Aug-14,95
Sep-14,91
Oct-14,80
Nov-14,65
Dec-14,53
Jan-15,47
Feb-15,49
Mar-15,47
Apr-15,59
May-15,60
Jun-15,58
Jul-15,46
Aug-15,48
Sep-15,45
Oct-15,46
Nov-15,41
Dec-15,37
Jan-16,33
Feb-16,33
Mar-16,38
Apr-16,45
May-16,48
Jun-16,48
Jul-16,41
Aug-16,44
Sep-16,48
Oct-16,46
Nov-16,48
Dec-16,53
Jan-17,52
Feb-17,53
Mar-17,50
Apr-17,49
May-17,48
Jun-17,46
Jul-17,50
Aug-17,47
Sep-17,51
Oct-17,54
Nov-17,57
Dec-17,60
Jan-18,64
Feb-18,61
Mar-18,64
Apr-18,68
May-18,67
Jun-18,74
Jul-18,68
Aug-18,69
Sep-18,73
Oct-18,64
Nov-18,50
Dec-18,45
Jan-19,53
Feb-19,57
Mar-19,60
Apr-19,63
May-19,53
Jun-19,58
Jul-19,57
Aug-19,55
Sep-19,54
Oct-19,54
Nov-19,55
Dec-19,61
Jan-20,51
Feb-20,45
Mar-20,20
Apr-20,19
May-20,35
Jun-20,39
Jul-20,40
Aug-20,42
Sep-20,39
Oct-20,35
Nov-20,45
Dec-20,48
Jan-21,52
Feb-21,61
Mar-21,59
Apr-21,63
May-21,67
Jun-21,73
Jul-21,73
Aug-21,68
Sep-21,75
Oct-21,83
Nov-21,66
Dec-21,75
Jan-22,88
Feb-22,95
Mar-22,101
Apr-22,104
May-22,115
Jun-22,105
Jul-22,98
Aug-22,88
Sep-22,79
Oct-22,86
Nov-22,80
Dec-22,80
Jan-23,78
Feb-23,76
Mar-23,75
Apr-23,76
May-23,67
Jun-23,70
Jul-23,81
Aug-23,83
Sep-23,90
Oct-23,82
