time,close
2014-01,1282
2014-02,1414
2014-03,1464
2014-04,1512
2014-05,1493
2014-06,1157
2014-07,1082
2014-08,1024
2014-09,913
2014-10,1049
2014-11,1016
2014-12,1023
2015-01,961
2015-02,1031
2015-03,973
2015-04,976
2015-05,934
2015-06,1037
2015-07,940
2015-08,887
2015-09,892
2015-10,885
2015-11,881
2015-12,864
2016-01,882
2016-02,861
2016-03,910
2016-04,1029
2016-05,1078
2016-06,1153
2016-07,1003
2016-08,943
2016-09,954
2016-10,1011
2016-11,1032
2016-12,1004
2017-01,1024
2017-02,1035
2017-03,946
2017-04,956
2017-05,916
2017-06,954
2017-07,1007
2017-08,945
2017-09,968
2017-10,984
2017-11,985
2017-12,961
2018-01,995
2018-02,1055
2018-03,1044
2018-04,1048
2018-05,1018
2018-06,880
2018-07,919
2018-08,843
2018-09,845
2018-10,851
2018-11,894
2018-12,895
2019-01,915
2019-02,910
2019-03,884
2019-04,854
2019-05,877
2019-06,923
2019-07,881
2019-08,869
2019-09,906
2019-10,932
2019-11,876
2019-12,955
2020-01,872
2020-02,892
2020-03,886
2020-04,855
2020-05,840
2020-06,882
2020-07,892
2020-08,953
2020-09,1023
2020-10,1056
2020-11,1168
2020-12,1311
2021-01,1370
2021-02,1404
2021-03,1436
2021-04,1534
2021-05,1530
2021-05,1399
2021-07,1349
2021-08,1292
2021-09,1256
2021-10,1249
2021-11,1217
2021-12,1339
2022-01,1490
2022-02,1636
2022-03,1618
2022-04,1684
2022-05,1683
2022-06,1458
2022-07,1468
2022-08,1422
2022-09,1364
2022-10,1419
2022-11,1469
2022-12,1524
2023-01,1538
2023-02,1479
2023-03,1505
2023-04,1419
2023-05,1299
2023-06,1343
2023-07,1331
2023-08,1368
2023-09,1275
2023-10,1280
