m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,3.1,3.3,1.9,4.6,3.6,2,3.2,4.2,3.1,3.1
생산량,12.8,10.1,20,15.1,14.1,18,19.9,18.9,19.6,18.3
수입량,4.3,5,2,2.7,2.4,2.8,2.2,2.1,2.6,2.4
곡물총량,20.3,18.4,23.9,22.4,20.1,22.7,25.3,25.3,25.3,23.7
음식소비,8.6,8.6,8.9,9.2,9.2,9.6,10,10.3,10.1,10.1
사료소비,6.2,6,6.7,6.1,6,5.7,5.6,6.4,7,6.5
산업소비,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7
기타소비,0.7,0.5,0.8,0.8,0.8,0.9,1,0.9,1,0.9
총소비량,16,15.5,16.9,16.6,16.6,16.8,17.1,18.3,18.7,18.2
수출량,1,1,2.4,2.2,1.6,2.7,4,3.9,3.5,2.7
내년이월,3.3,1.9,4.6,3.6,2,3.2,4.2,3.1,3.1,2.8
