m. tons,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24
전년이월,8.6,8,4.5,7.9,8.9,7,7,5.8,7.8,7.8
생산량,54.3,59.7,74.6,67.9,83.6,84.6,86.2,90.2,60.2,87
수입량,-,-,0.1,0.1,-,-,-,-,0.1,0.1
곡물총량,62.9,67.7,79.2,75.9,92.6,91.6,93.2,96,68.1,94.9
음식소비,5.9,5.5,5.5,5.7,5.7,5.8,5.9,5.9,6.1,6.1
사료소비,17.4,17.4,17.9,16.4,17.9,17.6,15.8,17.9,16.2,17.9
산업소비,2.7,3.1,2.7,2.9,3,3.1,3.4,3.7,3.7,3.7
기타소비,1.5,1.7,1.8,1.5,1.8,1.5,1.6,1.8,1.4,1.9
총소비량,27.5,27.8,27.9,26.5,28.4,28.1,26.7,29.3,27.4,29.7
수출량,27.4,35.5,43.5,40.5,57.2,56.6,60.7,58.9,32.8,58.8
내년이월,8,4.5,7.9,8.9,7,7,5.8,7.8,7.8,6.4
